Generation,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422857.57[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422857.60[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422857.62[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422857.65[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422857.68[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422857.71[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422857.73[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422857.76[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422857.78[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422857.89[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422857.92[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422857.94[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422857.97[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422858.00[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422858.03[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422858.05[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422858.08[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422858.10[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422858.13[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422858.16[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422858.19[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422858.21[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422858.24[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422858.26[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422858.29[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422858.32[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422858.35[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422858.37[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422858.40[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422858.42[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422858.45[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422858.48[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422858.51[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422858.53[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422858.56[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422858.58[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422858.61[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422858.64[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422858.67[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422858.69[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422858.72[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422864.05[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422864.09[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422864.13[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422864.17[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422864.21[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422864.25[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422864.28[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422864.30[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422864.33[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422864.36[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422864.38[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422864.41[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422864.44[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422864.47[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422864.49[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422864.52[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422864.54[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422864.57[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422864.60[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422864.62[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422864.65[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422864.68[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422864.70[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422864.73[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422864.76[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422864.78[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422864.81[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422864.84[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422864.86[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422864.89[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422864.92[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422864.95[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422864.97[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422865.00[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422865.02[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422865.05[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422865.08[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422865.11[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422865.13[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422865.16[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422865.18[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422865.21[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422865.24[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422865.26[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422865.29[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422865.32[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422865.34[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422865.37[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422865.41[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422865.42[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422865.45[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422865.48[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422865.50[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422865.53[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422865.56[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422865.59[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422865.61[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422865.64[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422865.66[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422865.69[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422865.72[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422865.74[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422865.77[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422865.80[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422865.82[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422865.85[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422865.88[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422865.90[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422865.93[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422865.96[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422865.98[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422866.01[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422866.04[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422866.06[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422866.09[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422866.12[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422866.14[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422866.17[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422866.20[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422866.22[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422866.25[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422866.28[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422866.30[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422866.33[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422866.36[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422866.38[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422866.44[sec],
EndGeneration,The first round 1,The first round 2,The first round 3,The first round 4,The semi final 1,The semi final 2,The final,Total
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63589422866.46[sec],
End